,file_name,game_age,game_cat,game_fans,game_players,game_time,game_weight
6630,html_files_games\_boardgame_39188_liberty-roads.html,Age: ––,"Rank: Overall 1,700 War 54",108,1–2 Players,90–1200 Min,3.23 / 5
6631,html_files_games\_boardgame_39189_kawanakajima-1561.html,Age: ––,,22,1–2 Players,Time: ––,2.80 / 5
6632,html_files_games\_boardgame_39206_click-clack-lumberjack.html,Age: 5+,"Rank: Overall 1,610 Party 118 Family 458",59,2–7 Players,10 Min,1.04 / 5
6633,html_files_games\_boardgame_39210_tier-auf-tier-das-duell.html,Age: 5+,"Rank: Overall 5,316 Children's 89",3,2 Players,10 Min,1.00 / 5
6634,html_files_games\_boardgame_39217_fighting-formations-grossdeutschland-motorized-inf.html,Age: ––,"Rank: Overall 1,305 War 87",206,2 Players,180 Min,3.29 / 5
6635,html_files_games\_boardgame_3921_street-illegal.html,Age: 10+,,7,1–7 Players,45 Min,1.82 / 5
6636,html_files_games\_boardgame_39232_nemos-war.html,Age: ––,"Rank: Overall 3,262 War 438 Thematic 494",63,1 Players,45 Min,2.03 / 5
6637,html_files_games\_boardgame_39242_black-friday.html,Age: 12+,"Rank: Overall 2,020 Strategy 946",44,2–5 Players,55 Min,2.82 / 5
6638,html_files_games\_boardgame_3925_elefant-hunt.html,Age: 10+,,13,2–4 Players,20 Min,1.00 / 5
6639,html_files_games\_boardgame_39278_medina-de-rioseco-1808.html,Age: ––,,1,1–2 Players,240 Min,2.75 / 5
6640,html_files_games\_boardgame_39290_jacynth.html,Age: ––,,7,1–3 Players,25 Min,2.17 / 5
6641,html_files_games\_boardgame_392_brawl.html,Age: 10+,"Rank: Overall 2,725 Thematic 499 Family 776",35,2–7 Players,15 Min,1.37 / 5
6642,html_files_games\_boardgame_3931_mare-nostrum.html,Age: 10+,"Rank: Overall 1,188 Strategy 683",96,3–5 Players,120 Min,2.99 / 5
6643,html_files_games\_boardgame_39328_baltic-gap.html,Age: ––,"Rank: Overall 2,757 War 161",47,2 Players,240 Min,4.16 / 5
6644,html_files_games\_boardgame_3932_interplay.html,Age: 8+,,7,2 Players,20 Min,2.00 / 5
6645,html_files_games\_boardgame_39332_tasso.html,Age: 8+,"Rank: Overall 4,328 Abstract 247 Family 1,045",13,2–6 Players,30 Min,1.31 / 5
6646,html_files_games\_boardgame_39336_megawatts.html,Age: 14+,"Rank: Overall 1,910 Strategy 834",13,2–6 Players,120 Min,3.12 / 5
6647,html_files_games\_boardgame_39339_android.html,Age: 13+,"Rank: Overall 1,121 Thematic 261",337,3–5 Players,180 Min,3.96 / 5
6648,html_files_games\_boardgame_39345_karelia-44.html,Age: ––,"Rank: Overall 5,276 War 724",14,1–2 Players,150–450 Min,2.71 / 5
6649,html_files_games\_boardgame_39351_automobile.html,Age: 12+,Rank: Overall 362 Strategy 220,211,3–5 Players,120 Min,3.53 / 5
6650,html_files_games\_boardgame_39383_frontline-d-day.html,Age: ––,"Rank: Overall 3,800 War 701",65,1–4 Players,60 Min,2.47 / 5
6651,html_files_games\_boardgame_393_dinosaurs-lost-world.html,Age: 8+,"Rank: Overall 3,936 Family 1,058",27,1–4 Players,90 Min,1.89 / 5
6652,html_files_games\_boardgame_39406_talat.html,Age: 8+,"Rank: Overall 6,294 Abstract 326 Family 1,272",10,2–3 Players,33 Min,2.00 / 5
6653,html_files_games\_boardgame_39426_panzer-grenadier-kursk-south-flank.html,Age: ––,,9,2 Players,60 Min,3.00 / 5
6654,html_files_games\_boardgame_3945_forbidden-bridge.html,Age: 7+,,29,2–4 Players,10 Min,1.50 / 5
6655,html_files_games\_boardgame_39463_cosmic-encounter.html,Age: 12+,Rank: Overall 115 Thematic 47 Strategy 115,"1,678",3–5 Players,60–120 Min,2.57 / 5
6656,html_files_games\_boardgame_394_kahuna.html,Age: 10+,Rank: Overall 970 Abstract 80,88,2 Players,30–40 Min,2.06 / 5
6657,html_files_games\_boardgame_39536_cat-fish.html,Age: ––,,8,2–4 Players,60 Min,2.67 / 5
6658,html_files_games\_boardgame_3955_bang.html,Age: 10+,"Rank: Overall 1,117 Party 139",697,4–7 Players,20–40 Min,1.64 / 5
6659,html_files_games\_boardgame_39565_world-war-5.html,Age: ––,,2,2–4 Players,15 Min,1.60 / 5
6660,html_files_games\_boardgame_39635_prolix.html,Age: 9+,"Rank: Overall 4,608 Family 1,087",16,1–5 Players,30 Min,1.74 / 5
6661,html_files_games\_boardgame_3965_snapshot.html,Age: 12+,,15,2 Players,60 Min,2.15 / 5
6662,html_files_games\_boardgame_39663_song-drums-and-shakos.html,Age: ––,,15,2–8 Players,45 Min,2.00 / 5
